Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
4,M121,P.S. 38 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,1/31/2022,EMER,,EMER,33094.0,14207.0,SCA0000070829
4,M121,P.S. 38 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.0,0.0,DSF0001033628
4,M121,P.S. 38 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,11/13/2023,DOEL,2/20/2024,DOEL,101247.0,101247.0,
4,M121,P.S. 38 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.0,0.0,DSF0001035211
4,M121,P.S. 38 - MANHATTAN,DOE - Skilled Trades,DOMESTIC WATER BOOSTER PUMPS,Construction,In-Progress,3/3/2021,DOES,,DOES,68672.0,0.0,DSF0001008751
4,M121,P.S. 38 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,10/20/2022,DOES,,DOES,65999.0,0.0,DSF0001009111
4,M121,P.S. 38 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,1/18/2024,DOES,3/1/2024,DOES,65832.0,,DSF0001084216
4,M121,P.S. 38 - MANHATTAN,DOE - Skilled Trades,BOILER FEED & VACUUM PUMP REPLACEMENT,Construction,In-Progress,3/11/2024,DOES,,DOES,60712.0,0.0,DSF0001097039
4,M146,P.S. 146 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,11/5/2019,5/5/2020,12/18/2019,16980,17931.0,17931.0,DSF0000890574
4,M146,P.S. 146 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,1/8/2020,7/2/2020,3/30/2020,76410,52967.0,52967.0,DSF0000890574
4,M146,P.S. 146 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,10/21/2022,10/20/2023,,984840,910104.0,423067.0,DSF0000890574
4,M146,P.S. 146 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,10/21/2022,10/20/2023,,182535,132953.0,105178.0,DSF0000890574
4,M146,P.S. 146 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,7/12/2022,11/28/2022,1/31/2023,211757,218211.0,217841.0,"DSF0001018822, DSF0001018823, DSF0001083887"
4,M146,P.S. 146 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,2/3/2023,7/7/2023,11/1/2023,1058784,571266.0,547824.0,"DSF0001018822, DSF0001018823, DSF0001083887"
4,M146,P.S. 146 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,23822632,23822632.0,213020.0,"DSF0001018822, DSF0001018823, DSF0001083887"
4,M146,P.S. 146 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,1482297,1482297.0,175110.0,"DSF0001018822, DSF0001018823, DSF0001083887"
4,M146,P.S. 146 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2/8/2023,6/8/2023,3/2/2023,3369,3116.0,3116.0,DSF0001034623
4,M146,P.S. 146 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/2/2023,8/25/2023,4/11/2023,15160,12462.0,12462.0,DSF0001034623
4,M146,P.S. 146 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,10/3/2023,10/1/2024,,195400,176424.0,3026.0,DSF0001034623
4,M146,P.S. 146 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,10/3/2023,10/1/2024,,40480,13176.0,13176.0,DSF0001034623
4,M146,P.S. 146 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION - CONCRETE/STEEL SPALL,Construction,In-Progress,8/4/2022,EMER,,EMER,55686.0,19036.0,SCA0000071353
4,M146,P.S. 146 - MANHATTAN,SCA IEH,"PO18-ABATE PIPE INSULATION GYM B/R., LW 136300 8-10'",Construction,Complete,12/14/2023,IEH,4/8/2024,IEH,20840.0,468.0,SCA0000072564
4,M146,P.S. 146 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,11/1/2023,DOER,,DOER,500000.0,9025.0,DSF0001086234
4,M146,P.S. 146 - MANHATTAN,DOE - Skilled Trades,STEAM PIPING REPLACEMENT,Construction,Complete,10/2/2023,DOES,4/3/2024,DOES,115315.0,113671.0,DSF0001112074
4,M155,P.S. 155 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION / FIRE ALARM SYSTEM,Scope,Complete,9/8/2021,1/27/2022,12/28/2021,136319,186460.0,185780.0,"DSF0001009294, DSF0001018917, DSF0001034393"
4,M155,P.S. 155 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION / FIRE ALARM SYSTEM,Design,Complete,2/2/2022,7/20/2022,11/10/2022,681596,537381.0,451068.0,"DSF0001009294, DSF0001018917, DSF0001034393"
4,M155,P.S. 155 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION / FIRE ALARM SYSTEM,Construction,In-Progress,8/3/2023,8/1/2025,,15335909,14016502.0,1069411.0,"DSF0001009294, DSF0001018917, DSF0001034393"
4,M155,P.S. 155 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION / FIRE ALARM SYSTEM,"CM,F&E",In-Progress,8/3/2023,8/1/2025,,954234,447342.0,437411.0,"DSF0001009294, DSF0001018917, DSF0001034393"
4,M155,P.S. 155 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ROOFS / ELECTRICAL UPGRADE,Scope,Complete,12/22/2022,6/22/2023,12/13/2023,273180,306348.0,298001.0,"DSF0001083675, DSF0001111895, DSF0001097338, DSF0001097341"
4,M155,P.S. 155 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ROOFS / ELECTRICAL UPGRADE,Design,Complete,12/20/2023,9/12/2024,5/8/2024,1365900,1088601.0,1017601.0,"DSF0001083675, DSF0001111895, DSF0001097338, DSF0001097341"
4,M155,P.S. 155 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ROOFS / ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,30732750,30732750.0,33378.0,"DSF0001083675, DSF0001111895, DSF0001097338, DSF0001097341"
4,M155,P.S. 155 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / WINDOWS / ROOFS / ELECTRICAL UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,1912260,1912260.0,115676.0,"DSF0001083675, DSF0001111895, DSF0001097338, DSF0001097341"
4,M155,P.S. 155 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,5/22/2023,9/21/2023,6/13/2023,3810,947.0,947.0,DSF0001035031
4,M155,P.S. 155 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,6/13/2023,12/11/2023,8/16/2023,17145,3788.0,3788.0,DSF0001035031
4,M155,P.S. 155 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/26/2024,12/21/2024,,220980,205904.0,2999.0,DSF0001035031
4,M155,P.S. 155 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/26/2024,12/21/2024,,68926,51693.0,7416.0,DSF0001035031
4,M155,P.S. 155 - MANHATTAN,SCA IEH,PO18-ABATE AND REPLACE FLOOR TILES: RM: 301 APPROX. 728 SF RM: 305 APPROX. 728 SF RM: 306 APPROX. 72,Construction,Complete,10/5/2023,IEH,1/21/2024,IEH,104992.0,93042.0,SCA0000072377
4,M155,I.S. 377 - MANHATTAN,DOE - RESOA,FY20 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/23/2022,DOER,,DOER,41643.0,0.0,DSF0000913336
4,M155,P.S. 155 - MANHATTAN,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,5/9/2016,DOES,,DOES,75200.0,0.0,DSF0000786334
4,M155,P.S. 155 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/14/2023,DOES,,DOES,342806.0,0.0,DSF0001035129
4,M155,P.S. 155 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,4/8/2024,DOES,,DOES,65832.0,0.0,DSF0001084230
4,M171,P.S. 171 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/1/2023,6/29/2023,3/9/2023,5310,1200.0,1200.0,DSF0001034633
4,M171,P.S. 171 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/9/2023,9/1/2023,5/3/2023,23895,4799.0,4799.0,DSF0001034633
4,M171,P.S. 171 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,12/6/2023,9/30/2024,,307980,279393.0,3038.0,DSF0001034633
4,M171,P.S. 171 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,12/6/2023,9/30/2024,,130982,105123.0,15234.0,DSF0001034633
4,M171,P.S. 171 - MANHATTAN,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,In-Progress,1/13/2020,FTK,,FTK,228869.0,212458.0,"DSF0000911966, DSF0000912467"
4,M171,P.S. 171 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/22/2024,DIIR,6/28/2024,DIIR,222000.0,222000.0,DSF0001086247
4,M206,P.S. 206 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,7/8/2019,11/21/2019,10/3/2019,136097,217176.0,161637.0,DSF0000912338
4,M206,P.S. 206 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,Complete,3/3/2021,8/17/2021,3/27/2023,680484,748628.0,384901.0,DSF0000912338
4,M206,P.S. 206 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,In-Progress,7/17/2023,1/1/2026,,15310882,13971894.0,1392658.0,DSF0000912338
4,M206,P.S. 206 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM,F&E",In-Progress,7/17/2023,1/1/2026,,953709,477396.0,457015.0,DSF0000912338
4,M206,P.S. 206 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/3/2023,7/3/2023,3/9/2023,6490,2057.0,2057.0,DSF0001034591
4,M206,P.S. 206 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/9/2023,9/1/2023,5/3/2023,29205,8225.0,8225.0,DSF0001034591
4,M206,P.S. 206 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,12/6/2023,9/30/2024,,376420,339582.0,3637.0,DSF0001034591
4,M206,P.S. 206 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,12/6/2023,9/30/2024,,110942,78086.0,6130.0,DSF0001034591
4,M435,MANHTN CT FOR MATH & SCI. HS - M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,5/20/2020,1/29/2021,8/7/2020,14940,40403.0,40403.0,DSF0000890576
4,M435,MANHTN CT FOR MATH & SCI. HS - M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,8/19/2020,7/28/2021,12/15/2021,67230,152760.0,152760.0,DSF0000890576
4,M435,MANHTN CT FOR MATH & SCI. HS - M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,7/11/2022,7/10/2023,,866520,805827.0,555240.0,DSF0000890576
4,M435,MANHTN CT FOR MATH & SCI. HS - M,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,7/11/2022,7/10/2023,,160605,127672.0,112163.0,DSF0000890576
4,M435,MANHTN CT FOR MATH & SCI. HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/2/2020,9/30/2020,6/26/2020,4926,3868.0,3868.0,DSF0000960797
4,M435,MANHTN CT FOR MATH & SCI. HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,6/26/2020,12/23/2020,12/22/2020,22168,15470.0,15470.0,DSF0000960797
4,M435,MANHTN CT FOR MATH & SCI. HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,11/17/2022,9/12/2023,,285722,252574.0,236286.0,DSF0000960797
4,M435,MANHTN CT FOR MATH & SCI. HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,11/17/2022,9/12/2023,,181104,180486.0,127400.0,DSF0000960797
4,M435,I.S. 825 - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,1/10/2024,DIIR,5/10/2024,DIIR,80000.0,80000.0,DSF0001035329
4,M435,MANHTN CT FOR MATH & SCI. HS - M,DOE - RESOA,FY20 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,170000.0,0.0,DSF0000913337
4,M435,MANHTN CT FOR MATH & SCI. HS - M,DOE - Skilled Trades,CAFETERIA SERVING LINE,Construction,In-Progress,1/20/2023,DOES,,DOES,935298.0,0.0,DSF0000960856
4,M435,MANHTN CT FOR MATH & SCI. HS - M,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/8/2022,DOES,,DOES,193378.0,0.0,DSF0001034244
4,M435,MANHTN CT FOR MATH & SCI. HS - M,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,6/24/2024,DOES,6/28/2024,DOES,65832.0,,DSF0001084951
4,M495,PARK EAST HS - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,5/18/2020,1/29/2021,9/3/2020,10937,27366.0,27366.0,DSF0000877109
4,M495,PARK EAST HS - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,10/14/2020,7/28/2021,7/28/2021,49214,109463.0,109463.0,DSF0000877109
4,M495,PARK EAST HS - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,6/12/2023,6/10/2024,,634317,579180.0,10357.0,DSF0000877109
4,M495,PARK EAST HS - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,6/12/2023,6/10/2024,,117567,89299.0,44675.0,DSF0000877109
4,M495,PARK EAST HS - MANHATTAN,SCA CIP,ROOFS,Scope,Complete,12/18/2023,5/3/2024,6/26/2024,27725,63326.0,23425.0,DSF0001070600
4,M495,PARK EAST HS - MANHATTAN,SCA CIP,ROOFS,Design,PNS,PNS,PNS,PNS,138623,138623.0,3239.0,DSF0001070600
4,M495,PARK EAST HS - MANHATTAN,SCA CIP,ROOFS,Construction,PNS,PNS,PNS,PNS,3119020,3119020.0,0.0,DSF0001070600
4,M495,PARK EAST HS - MANHATTAN,SCA CIP,ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,194072,194072.0,6746.0,DSF0001070600
4,M495,PARK EAST ALT H. S.,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,208.0,208.0,DSF0000011757
4,M495,PARK EAST ALT H. S.,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Design,Complete,9/15/2003,10/30/2003,10/30/2003,2600,19743.0,17929.0,DSF0000011757
4,M495,PARK EAST ALT H. S.,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Construction,In-Progress,5/10/2004,3/15/2006,,77000,78326.0,73504.0,DSF0000011757
4,M495,PARK EAST ALT H. S.,SCA Emergency Lighting,LL 41/16 COMPLIANCE,CM,In-Progress,5/10/2004,3/15/2006,,12240,157790.0,157770.0,DSF0000011757
4,M495,PARK EAST HS - MANHATTAN,SCA Furniture & Equipment,FY24 RESO A TECHNOLOGY UPGRADE,F&E,PNS,PNS,PNS,PNS,75000,75000.0,0.0,DSF0001086308
4,M495,PARK EAST HS - MANHATTAN,DIIT - RESOA,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,11/7/2022,DIIR,12/5/2022,DIIR,150000.0,60479.0,DSF0001034778
4,M495,PARK EAST HS - MANHATTAN,DOE - RESOA,FY23 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,3/28/2023,DOER,,DOER,43664.0,0.0,DSF0001035769
4,M495,PARK EAST HS - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,2/21/2023,DOES,,DOES,178998.0,0.0,DSF0001034921
4,M495,PARK EAST HS - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2/22/2024,DOES,,DOES,299106.0,0.0,DSF0001085746
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA CIP,EXTERIOR MASONRY- PERMANENT FIX / PARAPETS,Scope,Complete,5/31/2023,10/17/2023,10/25/2023,55736,86058.0,67035.0,"SCA0000071581, DSF0001098579"
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA CIP,EXTERIOR MASONRY- PERMANENT FIX / PARAPETS,Design,In-Progress,12/20/2023,5/22/2024,,268778,268778.0,87097.0,"SCA0000071581, DSF0001098579"
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA CIP,EXTERIOR MASONRY- PERMANENT FIX / PARAPETS,Construction,PNS,PNS,PNS,PNS,5190823,5190823.0,53.0,"SCA0000071581, DSF0001098579"
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA CIP,EXTERIOR MASONRY- PERMANENT FIX / PARAPETS,"CM,F&E",PNS,PNS,PNS,PNS,464436,464436.0,9738.0,"SCA0000071581, DSF0001098579"
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,5/22/2023,9/21/2023,6/6/2023,4010,611.0,611.0,DSF0001035035
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,6/6/2023,12/4/2023,8/16/2023,18045,2446.0,2446.0,DSF0001035035
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/26/2024,12/21/2024,,232580,221944.0,4744.0,DSF0001035035
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/26/2024,12/21/2024,,47372,30463.0,8809.0,DSF0001035035
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,SCA Emergency Response,EMERGENCY STABILIZATION- EXTERIOR MASONRY,Construction,In-Progress,11/28/2022,EMER,,EMER,1019984.0,966527.0,SCA0000071580
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,7/30/2021,FTK,,FTK,145232.0,132840.0,DSF0000961567
4,M646,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,DOE - Skilled Trades,ROOFS,Construction,In-Progress,10/4/2023,DOES,,DOES,460219.0,0.0,DSF0001087246
4,M895,YOUNG WOMEN'S LEADERSHIP SCHOOL,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,5/9/2023,9/8/2023,5/22/2023,3444,296.0,296.0,DSF0001085097
4,M895,YOUNG WOMEN'S LEADERSHIP SCHOOL,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,5/22/2023,11/17/2023,8/16/2023,15496,1186.0,1186.0,DSF0001085097
4,M895,YOUNG WOMEN'S LEADERSHIP SCHOOL,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,199728,199728.0,15143.0,DSF0001085097
4,M895,YOUNG WOMEN'S LEADERSHIP SCHOOL,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,37018,37018.0,19328.0,DSF0001085097
4,M895,YOUNG WOMEN'S LEADERSHIP SCHOOL,SCA Furniture & Equipment,FY22 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,50000,50000.0,0.0,DSF0001033243
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,ROOF LEAK / EXTERIOR MASONRY / WINDOWS,Scope,Complete,10/7/2022,1/11/2023,1/27/2023,187149,274725.0,246682.0,"DSF0001068033, DSF0001068034, DSF0001083841"
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,ROOF LEAK / EXTERIOR MASONRY / WINDOWS,Design,Complete,2/9/2023,7/13/2023,11/29/2023,935747,504931.0,481927.0,"DSF0001068033, DSF0001068034, DSF0001083841"
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,ROOF LEAK / EXTERIOR MASONRY / WINDOWS,Construction,PNS,PNS,PNS,PNS,21054296,21054296.0,33485.0,"DSF0001068033, DSF0001068034, DSF0001083841"
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,ROOF LEAK / EXTERIOR MASONRY / WINDOWS,"CM,F&E",PNS,PNS,PNS,PNS,1310045,1310045.0,99323.0,"DSF0001068033, DSF0001068034, DSF0001083841"
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/28/2021,11/29/2021,8/18/2021,6205,8646.0,8646.0,DSF0000960786
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,8/18/2021,2/16/2022,12/22/2021,27922,34582.0,34582.0,DSF0000960786
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,11/17/2022,9/12/2023,,359888,318479.0,299557.0,DSF0000960786
5,M010,FREDERICK DOUGLAS ACADEMY - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,11/17/2022,9/12/2023,,252923,238977.0,178528.0,DSF0000960786
5,M010,FREDERICK DOUGLAS ACADEMY - M,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/15/2024,DIIR,6/7/2024,DIIR,50000.0,50000.0,DSF0001086170
5,M030,P.S. 30 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Scope,Complete,5/10/2023,11/7/2023,10/25/2023,175442,159494.0,159494.0,"DSF0001083892, DSF0001111794"
5,M030,P.S. 30 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Design,Complete,11/9/2023,6/28/2024,5/15/2024,877211,642058.0,594268.0,"DSF0001083892, DSF0001111794"
5,M030,P.S. 30 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Construction,PNS,PNS,PNS,PNS,19737237,19737237.0,32390.0,"DSF0001083892, DSF0001111794"
5,M030,P.S. 30 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,1228095,1228095.0,73264.0,"DSF0001083892, DSF0001111794"
5,M030,P.S. 30 - MANHATTAN,SCA IEH,"PO18-ACM ABATEMENT,",Construction,In-Progress,12/5/2022,IEH,,IEH,912.0,337.0,SCA0000071594
5,M030,P.S. 30 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,1/8/2024,DIIR,6/7/2024,DIIR,100000.0,100000.0,DSF0001033150
5,M030,M138 SPED - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/14/2023,DIIR,2/10/2024,DIIR,75000.0,56793.0,DSF0001033167
5,M030,M138 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,1/23/2024,DIIR,4/8/2024,DIIR,50000.0,50000.0,DSF0001035623
5,M030,P.S. 30 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/9/2024,DOES,4/19/2024,DOES,65832.0,11355.0,DSF0001084190
5,M036,P.S. 36 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Scope,Complete,1/10/2018,2/9/2018,3/26/2018,0,11151.0,11151.0,DSF0000866392
5,M036,P.S. 36 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,650,5026.0,5026.0,DSF0000866392
5,M036,P.S. 36 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,9535,539601.0,940.0,DSF0000866392
5,M036,P.S. 36 - MANHATTAN,SCA CIP RESOA,FY18 RESO A SCIENCE LAB UPGRADES,"CM,F&E",PNS,PNS,PNS,PNS,650,36791.0,1020.0,DSF0000866392
5,M036,P.S. 36 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,100000.0,0.0,DSF0000913874
5,M036,P.S. 36 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.0,0.0,DSF0001033627
5,M036,P.S. 36 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,330000.0,0.0,DSF0001086179
5,M036,P.S. 36 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,2/14/2022,DOES,,DOES,83169.0,0.0,DSF0001009116
5,M036,P.S. 36 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/25/2024,DOES,4/5/2024,DOES,65832.0,9586.0,DSF0001084191
